0.019 pkt: 0 | received
0.022 ACK: 0 | sent
0.022 pkt: 2 | received
0.023 ACK: 0 | sent
0.030 pkt: 1 | received
0.030 ACK: 2 | sent
0.036 pkt: 3 | received
0.036 ACK: 3 | sent
0.045 pkt: 4 | received
0.046 ACK: 4 | sent
0.054 pkt: 5 | received
0.054 ACK: 5 | sent
0.064 pkt: 6 | received
0.064 ACK: 6 | sent
0.073 pkt: 7 | received
0.073 ACK: 7 | sent
0.081 pkt: 8 | received
0.081 ACK: 8 | sent
0.089 pkt: 9 | received
0.089 ACK: 9 | sent
0.094 pkt: 10 | received
0.094 ACK: 10 | sent
0.098 pkt: 11 | received
0.098 ACK: 11 | sent
0.102 pkt: 12 | received
0.102 ACK: 12 | sent
0.106 pkt: 13 | received
0.106 ACK: 13 | sent
0.110 pkt: 14 | received
0.110 ACK: 14 | sent
0.116 pkt: 15 | received
0.116 ACK: 15 | sent
0.121 pkt: 16 | received
0.121 ACK: 16 | sent
0.125 pkt: 17 | received
0.125 ACK: 17 | sent
0.130 pkt: 18 | received
0.130 ACK: 18 | sent
0.134 pkt: 19 | received
0.134 ACK: 19 | sent
0.139 pkt: 20 | received
0.139 ACK: 20 | sent
0.148 pkt: 22 | received
0.148 ACK: 20 | sent
0.152 pkt: 23 | received
0.153 ACK: 20 | sent
0.157 pkt: 24 | received
0.157 ACK: 20 | sent
0.160 pkt: 25 | received
0.161 ACK: 20 | sent
0.164 pkt: 26 | received
0.164 ACK: 20 | sent
0.173 pkt: 28 | received
0.173 ACK: 20 | sent
0.177 pkt: 29 | received
0.177 ACK: 20 | sent
0.183 pkt: 30 | received
0.183 ACK: 20 | sent
0.188 pkt: 31 | received
0.188 ACK: 20 | sent
0.192 pkt: 32 | received
0.192 ACK: 20 | sent
0.194 pkt: 33 | received
0.194 ACK: 20 | sent
0.194 pkt: 34 | received
0.194 ACK: 20 | sent
0.195 pkt: 35 | received
0.195 ACK: 20 | sent
0.196 pkt: 36 | received
0.196 ACK: 20 | sent
0.197 pkt: 37 | received
0.197 ACK: 20 | sent
0.199 pkt: 38 | received
0.199 ACK: 20 | sent
0.200 pkt: 39 | received
0.200 ACK: 20 | sent
0.201 pkt: 40 | received
0.201 ACK: 20 | sent
0.202 pkt: 41 | received
0.202 ACK: 20 | sent
0.203 pkt: 42 | received
0.203 ACK: 20 | sent
0.205 pkt: 43 | received
0.205 ACK: 20 | sent
0.206 pkt: 44 | received
0.206 ACK: 20 | sent
0.207 pkt: 45 | received
0.207 ACK: 20 | sent
0.208 pkt: 46 | received
0.208 ACK: 20 | sent
0.209 pkt: 47 | received
0.209 ACK: 20 | sent
0.211 pkt: 48 | received
0.211 ACK: 20 | sent
0.212 pkt: 49 | received
0.212 ACK: 20 | sent
0.212 pkt: 50 | received
0.212 ACK: 20 | sent
0.214 pkt: 51 | received
0.214 ACK: 20 | sent
0.215 pkt: 52 | received
0.215 ACK: 20 | sent
0.216 pkt: 21 | received
0.216 ACK: 26 | sent
0.217 pkt: 21 | received
0.217 ACK: 26 | sent
0.219 pkt: 21 | received
0.219 ACK: 26 | sent
0.219 pkt: 21 | received
0.219 ACK: 26 | sent
0.220 pkt: 21 | received
0.221 ACK: 26 | sent
0.222 pkt: 21 | received
0.222 ACK: 26 | sent
0.223 pkt: 21 | received
0.223 ACK: 26 | sent
0.224 pkt: 21 | received
0.224 ACK: 26 | sent
0.225 pkt: 21 | received
0.225 ACK: 26 | sent
0.226 pkt: 21 | received
0.226 ACK: 26 | sent
0.227 pkt: 21 | received
0.228 ACK: 26 | sent
0.229 pkt: 21 | received
