0.001 pkt: 0 | sent
0.002 pkt: 1 | sent
0.002 pkt: 2 | sent
0.002 pkt: 3 | sent
0.002 pkt: 4 | sent
0.002 pkt: 5 | sent
0.002 pkt: 6 | sent
0.002 pkt: 7 | sent
0.002 pkt: 8 | sent
0.002 pkt: 9 | sent
0.002 pkt: 10 | sent
0.002 pkt: 11 | sent
0.002 pkt: 12 | sent
0.002 pkt: 13 | sent
0.002 pkt: 14 | sent
0.002 pkt: 15 | sent
0.002 pkt: 16 | sent
0.002 pkt: 17 | sent
0.002 pkt: 18 | sent
0.002 pkt: 19 | sent
0.002 pkt: 20 | sent
0.002 pkt: 21 | sent
0.002 pkt: 22 | sent
0.002 pkt: 23 | sent
0.002 pkt: 24 | sent
0.002 pkt: 25 | sent
0.002 pkt: 26 | sent
0.002 pkt: 27 | sent
0.002 pkt: 28 | sent
0.003 pkt: 29 | sent
0.003 pkt: 30 | sent
0.003 pkt: 31 | sent
0.193 ACK: 0 | received
0.193 pkt: 32 | sent
0.195 ACK: 20 | received
0.195 pkt: 33 | sent
0.195 pkt: 34 | sent
0.195 pkt: 35 | sent
0.195 pkt: 36 | sent
0.195 pkt: 37 | sent
0.195 pkt: 38 | sent
0.195 pkt: 39 | sent
0.195 pkt: 40 | sent
0.195 pkt: 41 | sent
0.195 pkt: 42 | sent
0.195 pkt: 43 | sent
0.195 pkt: 44 | sent
0.195 pkt: 45 | sent
0.195 pkt: 46 | sent
0.195 pkt: 47 | sent
0.195 pkt: 48 | sent
0.195 pkt: 49 | sent
0.195 pkt: 50 | sent
0.195 pkt: 51 | sent
0.195 pkt: 52 | sent
0.199 ACK: 4 | received
0.199 ACK: 20 | received
0.199 pkt: 20 | 3 duplicated ACKs
0.199 pkt: 21 | retransmitted
0.204 ACK: 0 | received
0.205 ACK: 20 | received
0.205 pkt: 20 | 3 duplicated ACKs
0.205 pkt: 21 | retransmitted
0.209 ACK: 5 | received
0.210 ACK: 20 | received
0.210 pkt: 20 | 3 duplicated ACKs
0.210 pkt: 21 | retransmitted
0.214 ACK: 20 | received
0.216 ACK: 2 | received
0.216 pkt: 20 | 3 duplicated ACKs
0.217 pkt: 21 | retransmitted
0.217 ACK: 20 | received
0.217 ACK: 20 | received
0.217 pkt: 20 | 3 duplicated ACKs
0.217 pkt: 21 | retransmitted
0.218 ACK: 20 | received
0.219 ACK: 20 | received
0.219 pkt: 20 | 3 duplicated ACKs
0.219 pkt: 21 | retransmitted
0.219 ACK: 20 | received
0.221 ACK: 20 | received
0.221 pkt: 20 | 3 duplicated ACKs
0.221 pkt: 21 | retransmitted
0.221 ACK: 6 | received
0.222 ACK: 20 | received
0.222 pkt: 20 | 3 duplicated ACKs
0.222 pkt: 21 | retransmitted
0.223 ACK: 20 | received
0.224 ACK: 20 | received
0.224 pkt: 20 | 3 duplicated ACKs
0.224 pkt: 21 | retransmitted
0.225 ACK: 20 | received
0.228 ACK: 20 | received
0.228 pkt: 20 | 3 duplicated ACKs
0.228 pkt: 21 | retransmitted
0.228 ACK: 20 | received
0.228 ACK: 3 | received
0.228 pkt: 20 | 3 duplicated ACKs
0.228 pkt: 21 | retransmitted
0.229 ACK: 20 | received
0.230 ACK: 20 | received
0.230 pkt: 20 | 3 duplicated ACKs
0.230 pkt: 21 | retransmitted
0.231 ACK: 20 | received
0.233 ACK: 20 | received
0.233 pkt: 20 | 3 duplicated ACKs
0.233 pkt: 21 | retransmitted
0.234 ACK: 20 | received
0.235 ACK: 20 | received
0.235 pkt: 20 | 3 duplicated ACKs
